article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 521.4805908203125, 521.412109375, 677.8799438476562]","[0.30470587537179583, 0.6584350894195865, 0.851980570874183, 0.855909020009667]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 521.4805908203125, 521.412109375, 677.8799438476562]","[0.30470587537179583, 0.6584350894195865, 0.851980570874183, 0.855909020009667]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 521.4805908203125, 521.412109375, 677.8799438476562]","[0.30470587537179583, 0.6584350894195865, 0.851980570874183, 0.855909020009667]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.48001098632812, 101.7599868774414, 528.7798461914062, 200.16012573242188]","[0.3047059003044577, 0.12848483191596138, 0.8640193565219056, 0.25272743148033067]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.48001098632812, 214.56015014648438, 535.3556518554688, 485.7601318359375]","[0.3047059003044577, 0.27090928048798535, 0.8747641370187398, 0.6133334997928503]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,4,"[186.47999572753906, 105.1199722290039, 536.8679809570312, 160.32003784179688]","[0.30470587537179583, 0.13272723766288372, 0.8772352630016851, 0.20242429020428898]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.48001098632812, 402.0000305175781, 502.4998779296875, 442.8000183105469]","[0.29000001795151653, 0.5075757961080531, 0.8210782319112541, 0.5590909322102865]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,Money laundering,1,"[213.47999572753906, 457.1999816894531, 504.3124694824219, 483.5999755859375]","[0.34882352243061937, 0.5772727041533499, 0.8240399828144148, 0.6106060297802242]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,2,"[186.47999572753906, 98.4000015258789, 515.219970703125, 168.00009155273438]","[0.30470587537179583, 0.12424242616903902, 0.8418626972273284, 0.21212132771809897]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 98.4000015258789, 515.219970703125, 168.00009155273438]","[0.30470587537179583, 0.12424242616903902, 0.8418626972273284, 0.21212132771809897]",612.0,792.0
